time,time,water_level
20/08/2013 13:59,741600,-1.8
20/08/2013 14:59,745200,-1.99
20/08/2013 15:59,748800,-1.77
20/08/2013 16:59,752400,-1.04
20/08/2013 17:59,756000,0.02
20/08/2013 18:59,759600,1.07
20/08/2013 19:59,763200,1.76
20/08/2013 20:59,766800,2.01
20/08/2013 21:59,770400,1.85
20/08/2013 22:59,774000,1.27
20/08/2013 23:59,777600,0.49
21/08/2013 00:59,781200,-0.31
21/08/2013 01:59,784800,-0.9
21/08/2013 02:59,788400,-1.35
21/08/2013 03:59,792000,-1.47
21/08/2013 04:59,795600,-1.09
21/08/2013 05:59,799200,-0.2
21/08/2013 06:59,802800,0.76
21/08/2013 07:59,806400,1.4
21/08/2013 08:59,810000,1.61
21/08/2013 09:59,813600,1.4
21/08/2013 10:59,817200,0.81
21/08/2013 11:59,820800,-0.02
21/08/2013 12:59,824400,-0.84
21/08/2013 13:59,828000,-1.51
21/08/2013 14:59,831600,-1.93
21/08/2013 15:59,835200,-2.04
21/08/2013 16:59,838800,-1.68
21/08/2013 17:59,842400,-0.7
21/08/2013 18:59,846000,0.47
21/08/2013 19:59,849600,1.41
21/08/2013 20:59,853200,1.97
21/08/2013 21:59,856800,2.09
21/08/2013 22:59,860400,1.7
21/08/2013 23:59,864000,0.99
22/08/2013 00:59,867600,0.08
22/08/2013 01:59,871200,-0.64
22/08/2013 02:59,874800,-1.18
22/08/2013 03:59,878400,-1.63
22/08/2013 04:59,882000,-1.58
22/08/2013 05:59,885600,-0.94
22/08/2013 06:59,889200,0.12
22/08/2013 07:59,892800,1.08
22/08/2013 08:59,896400,1.62
22/08/2013 09:59,900000,1.7
22/08/2013 10:59,903600,1.35
22/08/2013 11:59,907200,0.65
22/08/2013 12:59,910800,-0.21
22/08/2013 13:59,914400,-1.01
22/08/2013 14:59,918000,-1.63
22/08/2013 15:59,921600,-2
22/08/2013 16:59,925200,-2.01
22/08/2013 17:59,928800,-1.46
22/08/2013 18:59,932400,-0.35
22/08/2013 19:59,936000,0.8
22/08/2013 20:59,939600,1.64
22/08/2013 21:59,943200,2.01
22/08/2013 22:59,946800,1.95
22/08/2013 23:59,950400,1.42
23/08/2013 00:59,954000,0.59
23/08/2013 01:59,957600,-0.28
23/08/2013 02:59,961200,-0.96
23/08/2013 03:59,964800,-1.45
23/08/2013 04:59,968400,-1.73
23/08/2013 05:59,972000,-1.5
23/08/2013 06:59,975600,-0.66
23/08/2013 07:59,979200,0.4
23/08/2013 08:59,982800,1.31
23/08/2013 09:59,986400,1.7
23/08/2013 10:59,990000,1.66
23/08/2013 11:59,993600,1.17
23/08/2013 12:59,997200,0.38
23/08/2013 13:59,1000800,-0.46
23/08/2013 14:59,1004400,-1.19
23/08/2013 15:59,1008000,-1.69
23/08/2013 16:59,1011600,-1.91
23/08/2013 17:59,1015200,-1.76
23/08/2013 18:59,1018800,-1.02
23/08/2013 19:59,1022400,0.07
23/08/2013 20:59,1026000,1.1
23/08/2013 21:59,1029600,1.71
23/08/2013 22:59,1033200,1.89
23/08/2013 23:59,1036800,1.62
24/08/2013 00:59,1040400,0.94
24/08/2013 01:59,1044000,0.11
24/08/2013 02:59,1047600,-0.67
24/08/2013 03:59,1051200,-1.24
24/08/2013 04:59,1054800,-1.61
24/08/2013 05:59,1058400,-1.7
24/08/2013 06:59,1062000,-1.25
24/08/2013 07:59,1065600,-0.29
24/08/2013 08:59,1069200,0.7
24/08/2013 09:59,1072800,1.38
24/08/2013 10:59,1076400,1.62
24/08/2013 11:59,1080000,1.46
24/08/2013 12:59,1083600,0.89
24/08/2013 13:59,1087200,0.12
24/08/2013 14:59,1090800,-0.64
24/08/2013 15:59,1094400,-1.22
24/08/2013 16:59,1098000,-1.58
24/08/2013 17:59,1101600,-1.67
24/08/2013 18:59,1105200,-1.3
24/08/2013 19:59,1108800,-0.46
24/08/2013 20:59,1112400,0.52
24/08/2013 21:59,1116000,1.28
24/08/2013 22:59,1119600,1.65
24/08/2013 23:59,1123200,1.62
25/08/2013 00:59,1126800,1.2
25/08/2013 01:59,1130400,0.49
25/08/2013 02:59,1134000,-0.28
25/08/2013 03:59,1137600,-0.9
25/08/2013 04:59,1141200,-1.35
25/08/2013 05:59,1144800,-1.59
25/08/2013 06:59,1148400,-1.47
25/08/2013 07:59,1152000,-0.86
25/08/2013 08:59,1155600,0.07
25/08/2013 09:59,1159200,0.92
25/08/2013 10:59,1162800,1.4
25/08/2013 11:59,1166400,1.49
25/08/2013 12:59,1170000,1.2
25/08/2013 13:59,1173600,0.61
25/08/2013 14:59,1177200,-0.07
25/08/2013 15:59,1180800,-0.68
25/08/2013 16:59,1184400,-1.08
25/08/2013 17:59,1188000,-1.3
25/08/2013 18:59,1191600,-1.2
25/08/2013 19:59,1195200,-0.73
25/08/2013 20:59,1198800,0.05
25/08/2013 21:59,1202400,0.82
25/08/2013 22:59,1206000,1.33
25/08/2013 23:59,1209600,1.49
26/08/2013 00:59,1213200,1.27
26/08/2013 01:59,1216800,0.74
26/08/2013 02:59,1220400,0.09
26/08/2013 03:59,1224000,-0.54
26/08/2013 04:59,1227600,-1.02
26/08/2013 05:59,1231200,-1.35
26/08/2013 06:59,1234800,-1.42
26/08/2013 07:59,1238400,-1.13
