nohup: ignoring input
Exporting to ../../outputs/3d_b_v1.0
UFL:WARNING Discontinuous Lagrange element requested on triangle * interval, creating DQ element.
Using default SIPG parameters
Coupled time integrator: CoupledTwoStageRK
  2D time integrator: ESDIRKTrapezoid
  3D time integrator: SSPRK22ALE
  3D implicit time integrator: BackwardEuler
2D mesh: 5151 nodes, 10000 triangles
3D mesh: 4 layers, 40000 prisms
Horizontal element size: 2.24 ... 2.24 m
Vertical element size: 10.000 ... 10.000 m
Element family: dg-dg, degree: 1
Number of tracer DOFs: 240000
Number of cores: 8
Tracer DOFs per core: ~30000.0
  - dt 2d swe: 0.004901703866484176
  - dt h. advection: 0.03726779962499632
  - dt v. advection: 249.99999999999898
  - dt viscosity: 0.04999999999999954
  - CFL adjusted dt: 2D: inf 3D: 0.03726779962499632
  - chosen dt: 2D: 0.03726779962499632 3D: 0.03726779962499632
  - adjusted dt: 2D: 0.037037037037037035 3D: 0.037037037037037035
dt = 0.037037
max h diff 1.1249999999999931 - 1.1250000000000029
  117  3159 T=    117.00 eta norm:    97.7985 u norm:   105.8936 24.25
  118  3186 T=    118.00 eta norm:    96.4563 u norm:   106.9682 26.08
  119  3213 T=    119.00 eta norm:    95.1294 u norm:   108.0365 25.33
  120  3240 T=    120.00 eta norm:    93.8176 u norm:   109.1076 24.28
  121  3267 T=    121.00 eta norm:    92.5208 u norm:   110.1751 23.60
Traceback (most recent call last):
  File "channel3d_turbine.py", line 105, in <module>
    solver_obj.iterate(update_forcings=update_forcings)
  File "/home/can/firedrake/src/thetis/thetis/solver.py", line 1215, in iterate
    update_forcings, update_forcings3d)
  File "/home/can/firedrake/src/thetis/thetis/coupled_timeintegrator.py", line 682, in advance
    self.timesteppers.mom_expl.solve_stage(i_stage)
  File "/home/can/firedrake/src/thetis/thetis/timeintegrator.py", line 702, in solve_stage
    self.stage_one_solve()
  File "/home/can/firedrake/src/thetis/thetis/timeintegrator.py", line 665, in stage_one_solve
    self.lin_solver.solve(self.solution, self.mu)
  File "/home/can/firedrake/src/firedrake/firedrake/linear_solver.py", line 156, in solve
    self.ksp.solve(rhs, solution)
  File "PETSc/KSP.pyx", line 394, in petsc4py.PETSc.KSP.solve
petsc4py.PETSc.Error: error code 1
[3] KSPSolve() line 882 in /home/can/firedrake/src/petsc/src/ksp/ksp/interface/itfunc.c
[3] KSPSolve_Private() line 723 in /home/can/firedrake/src/petsc/src/ksp/ksp/interface/itfunc.c
[3] KSPSolve_CG() line 195 in /home/can/firedrake/src/petsc/src/ksp/ksp/impls/cg/cg.c
[3] VecTDot() line 433 in /home/can/firedrake/src/petsc/src/vec/vec/interface/rvector.c
[3] VecTDot_MPI() line 27 in /home/can/firedrake/src/petsc/src/vec/vec/impls/mpi/pbvec.c
application called MPI_Abort(MPI_COMM_WORLD, 1) - process 3
