Exporting to ../../outputs/5.3D/dx150
UFL:WARNING Discontinuous Lagrange element requested on triangle * interval, creating DQ element.
Using default SIPG parameters
Coupled time integrator: CoupledTwoStageRK
  2D time integrator: ESDIRKTrapezoid
  3D time integrator: SSPRK22ALE
  3D implicit time integrator: BackwardEuler
2D mesh: 1313 nodes, 2400 triangles
3D mesh: 6 layers, 14400 prisms
Horizontal element size: 1.00 ... 1.00 m
Vertical element size: 0.900 ... 0.900 m
Element family: dg-dg, degree: 1
Number of tracer DOFs: 86400
Number of cores: 8
Tracer DOFs per core: ~10800.0
  - dt 2d swe: 0.004638940161693393
  - dt h. advection: 0.014285714285714193
  - dt v. advection: 22.49999999999989
  - dt viscosity: 0.00999999999999987
  - CFL adjusted dt: 2D: inf 3D: 0.00999999999999987
  - chosen dt: 2D: 0.00999999999999987 3D: 0.00999999999999987
  - adjusted dt: 2D: 0.009995002498750625 3D: 0.009995002498750625
dt = 0.009995
max h diff 0.8337499999999952 - 0.8337500000000025
  134 268134 T=   2680.00 eta norm:     9.0299 u norm:    40.5076 467.83
  135 270135 T=   2700.00 eta norm:     8.6556 u norm:    42.3417 467.17
  136 272136 T=   2720.00 eta norm:     7.8376 u norm:    42.2444 467.48
  137 274137 T=   2740.00 eta norm:     7.5204 u norm:    43.4672 466.39
  138 276138 T=   2760.00 eta norm:     7.5540 u norm:    44.9457 467.35
  139 278139 T=   2780.00 eta norm:     7.5162 u norm:    45.3548 467.54
  140 280140 T=   2800.00 eta norm:     7.8241 u norm:    43.4257 467.61
  141 282141 T=   2820.00 eta norm:     9.0749 u norm:    40.2050 467.05
  142 284142 T=   2840.00 eta norm:     7.9350 u norm:    39.7481 466.71
  143 286143 T=   2860.00 eta norm:     8.9269 u norm:    40.7950 466.47
  144 288144 T=   2880.00 eta norm:     9.0670 u norm:    42.6591 467.05
  145 290145 T=   2900.00 eta norm:     8.3586 u norm:    42.5630 463.18
  146 292146 T=   2920.00 eta norm:     8.6220 u norm:    40.3533 463.90
  147 294147 T=   2940.00 eta norm:     8.8394 u norm:    39.4537 463.40
  148 296148 T=   2960.00 eta norm:     8.7893 u norm:    39.0583 464.21
  149 298149 T=   2980.00 eta norm:     8.0777 u norm:    40.1163 463.30
  150 300150 T=   3000.00 eta norm:     7.7691 u norm:    40.8604 463.78
  151 302151 T=   3020.00 eta norm:     7.1708 u norm:    44.4361 463.07
  152 304152 T=   3040.00 eta norm:     7.8281 u norm:    45.2535 463.63
  153 306153 T=   3060.00 eta norm:     7.9512 u norm:    44.4382 464.81
  154 308154 T=   3080.00 eta norm:     7.4774 u norm:    46.6093 463.53
  155 310155 T=   3100.00 eta norm:     8.0649 u norm:    44.9957 463.01
  156 312156 T=   3120.00 eta norm:     8.0845 u norm:    42.1437 464.14
  157 314157 T=   3140.00 eta norm:     7.7353 u norm:    45.1910 463.86
  158 316158 T=   3160.00 eta norm:     8.3058 u norm:    47.8091 463.86
  159 318159 T=   3180.00 eta norm:     7.3006 u norm:    45.0352 464.04
  160 320160 T=   3200.00 eta norm:     8.3192 u norm:    42.1721 463.39
  161 322161 T=   3220.00 eta norm:     8.3714 u norm:    40.8476 464.47
  162 324162 T=   3240.00 eta norm:     7.9020 u norm:    42.3091 464.24
  163 326163 T=   3260.00 eta norm:     7.9805 u norm:    44.0521 463.30
  164 328164 T=   3280.00 eta norm:     7.6973 u norm:    43.4517 463.59
  165 330165 T=   3300.00 eta norm:     7.5803 u norm:    41.7950 463.79
  166 332166 T=   3320.00 eta norm:     7.5361 u norm:    43.5703 462.88
  167 334167 T=   3340.00 eta norm:     6.4939 u norm:    47.3568 463.08
  168 336168 T=   3360.00 eta norm:     7.7111 u norm:    46.4512 462.74
