nohup: ignoring input
Exporting to ../../outputs/3d_v0.1
UFL:WARNING Discontinuous Lagrange element requested on triangle * interval, creating DQ element.
Using default SIPG parameters
Coupled time integrator: CoupledTwoStageRK
  2D time integrator: ESDIRKTrapezoid
  3D time integrator: SSPRK22ALE
  3D implicit time integrator: BackwardEuler
2D mesh: 5151 nodes, 10000 triangles
3D mesh: 4 layers, 40000 prisms
Horizontal element size: 1.73 ... 1.73 m
Vertical element size: 10.000 ... 10.000 m
Element family: dg-dg, degree: 1
Number of tracer DOFs: 240000
Number of cores: 8
Tracer DOFs per core: ~30000.0
  - dt 2d swe: 0.0037968434885867356
  - dt h. advection: 0.028867513459481086
  - dt v. advection: 249.9999999999982
  - dt viscosity: 0.029999999999999576
  - CFL adjusted dt: 2D: inf 3D: 0.028867513459481086
  - chosen dt: 2D: 0.028867513459481086 3D: 0.028867513459481086
  - adjusted dt: 2D: 0.02886002886002886 3D: 0.02886002886002886
dt = 0.028860
max h diff 0.8662499999999947 - 0.8662500000000026
    0     0 T=      0.00 eta norm:     0.0000 u norm:     0.0000  0.00
tsfc:WARNING Estimated quadrature degree (23, 23) more than tenfold greater than any argument/coefficient degree (max (1, 1))
    1   693 T=     20.00 eta norm:    91.5326 u norm:     4.1013 751.84
    2  1386 T=     40.00 eta norm:    94.1680 u norm:    17.8620 909.65
    3  2079 T=     60.00 eta norm:    80.1111 u norm:    34.7382 931.40
   86 59598 T=   1720.00 eta norm:   123.5042 u norm:   489.3884 921.46
   87 60291 T=   1740.00 eta norm:   129.2603 u norm:   477.8703 923.15
   88 60984 T=   1760.00 eta norm:   136.8992 u norm:   463.2932 911.50
   89 61677 T=   1780.00 eta norm:   144.6313 u norm:   447.1548 918.54
   90 62370 T=   1800.00 eta norm:   148.7985 u norm:   428.8121 921.39
   91 63063 T=   1820.00 eta norm:   147.6733 u norm:   406.9675 911.45
   92 63756 T=   1840.00 eta norm:   148.3067 u norm:   385.7684 925.88
   93 64449 T=   1860.00 eta norm:   145.6192 u norm:   363.4602 934.38
   94 65142 T=   1880.00 eta norm:   149.7192 u norm:   347.2754 930.66
   95 65835 T=   1900.00 eta norm:   151.6289 u norm:   332.6093 933.43
   96 66528 T=   1920.00 eta norm:   149.4798 u norm:   315.1940 930.77
   97 67221 T=   1940.00 eta norm:   150.2027 u norm:   294.8864 934.57
   98 67914 T=   1960.00 eta norm:   147.9346 u norm:   277.3345 933.72
   99 68607 T=   1980.00 eta norm:   144.5456 u norm:   259.2804 935.14
  100 69300 T=   2000.00 eta norm:   140.0186 u norm:   246.9644 935.02
  101 69993 T=   2020.00 eta norm:   136.5408 u norm:   229.0987 931.90
  102 70686 T=   2040.00 eta norm:   132.4552 u norm:   216.9100 932.15
  103 71379 T=   2060.00 eta norm:   128.3538 u norm:   204.6172 933.21
  104 72072 T=   2080.00 eta norm:   124.6285 u norm:   194.0202 929.10
  105 72765 T=   2100.00 eta norm:   120.8836 u norm:   183.4554 931.87
  106 73458 T=   2120.00 eta norm:   115.6643 u norm:   174.7651 931.03
  107 74151 T=   2140.00 eta norm:   111.1609 u norm:   168.4910 935.56
  108 74844 T=   2160.00 eta norm:   107.4025 u norm:   163.0003 930.73
  109 75537 T=   2180.00 eta norm:   103.5092 u norm:   159.5692 924.58
  110 76230 T=   2200.00 eta norm:    98.9070 u norm:   157.7126 925.22
  111 76923 T=   2220.00 eta norm:    94.4950 u norm:   156.4279 932.71
  112 77616 T=   2240.00 eta norm:    90.4015 u norm:   156.6366 931.65
  113 78309 T=   2260.00 eta norm:    86.2668 u norm:   157.7308 927.69
  114 79002 T=   2280.00 eta norm:    81.9667 u norm:   158.4549 931.43
  115 79695 T=   2300.00 eta norm:    77.9656 u norm:   159.5509 922.90
  116 80388 T=   2320.00 eta norm:    74.2771 u norm:   161.0233 918.28
  117 81081 T=   2340.00 eta norm:    72.2583 u norm:   162.5804 916.04
  118 81774 T=   2360.00 eta norm:    77.9941 u norm:   164.4946 924.51
  119 82467 T=   2380.00 eta norm:    94.7557 u norm:   165.8046 918.80
  120 83160 T=   2400.00 eta norm:   112.2306 u norm:   167.8279 918.53
  121 83853 T=   2420.00 eta norm:   121.5301 u norm:   170.9720 921.10
  122 84546 T=   2440.00 eta norm:   134.1126 u norm:   174.3730 919.94
  123 85239 T=   2460.00 eta norm:   143.7655 u norm:   176.1337 911.72
  124 85932 T=   2480.00 eta norm:   151.0242 u norm:   178.4386 922.61
  125 86625 T=   2500.00 eta norm:   159.2998 u norm:   180.0318 920.12
  126 87318 T=   2520.00 eta norm:   165.5304 u norm:   181.2170 916.85
  127 88011 T=   2540.00 eta norm:   171.6038 u norm:   182.1519 919.38
  128 88704 T=   2560.00 eta norm:   176.9002 u norm:   182.4703 918.43
  129 89397 T=   2580.00 eta norm:   181.1800 u norm:   183.9849 923.39
  130 90090 T=   2600.00 eta norm:   185.1170 u norm:   184.8371 919.49
  131 90783 T=   2620.00 eta norm:   188.6448 u norm:   185.3218 917.87
  132 91476 T=   2640.00 eta norm:   191.8158 u norm:   184.6247 921.22
  133 92169 T=   2660.00 eta norm:   194.5176 u norm:   183.7278 924.74
  134 92862 T=   2680.00 eta norm:   196.5760 u norm:   183.7442 923.22
  135 93555 T=   2700.00 eta norm:   198.2766 u norm:   182.7338 921.36
  136 94248 T=   2720.00 eta norm:   199.7138 u norm:   182.2992 922.08
  137 94941 T=   2740.00 eta norm:   200.8328 u norm:   181.9116 916.98
  138 95634 T=   2760.00 eta norm:   201.5040 u norm:   181.7589 920.50
  139 96327 T=   2780.00 eta norm:   201.6682 u norm:   181.7364 916.72
  140 97020 T=   2800.00 eta norm:   201.6071 u norm:   181.3573 921.33
  141 97713 T=   2820.00 eta norm:   201.3731 u norm:   181.0518 920.11
  142 98406 T=   2840.00 eta norm:   200.9715 u norm:   180.3880 925.25
  143 99099 T=   2860.00 eta norm:   200.3012 u norm:   180.1773 921.62
  144 99792 T=   2880.00 eta norm:   199.3443 u norm:   180.7480 919.12
  145 100485 T=   2900.00 eta norm:   198.2021 u norm:   181.7246 910.62
  146 101178 T=   2920.00 eta norm:   196.8225 u norm:   182.3936 921.67
  147 101871 T=   2940.00 eta norm:   195.1055 u norm:   183.5748 917.04
  148 102564 T=   2960.00 eta norm:   193.0795 u norm:   184.6830 918.15
  149 103257 T=   2980.00 eta norm:   190.8407 u norm:   184.8335 919.05
  150 103950 T=   3000.00 eta norm:   188.2817 u norm:   184.6757 915.99
  151 104643 T=   3020.00 eta norm:   185.4738 u norm:   184.9064 915.98
  152 105336 T=   3040.00 eta norm:   182.4347 u norm:   185.1197 925.63
  153 106029 T=   3060.00 eta norm:   179.2605 u norm:   185.9409 926.36
  154 106722 T=   3080.00 eta norm:   175.9290 u norm:   186.2645 920.05
  155 107415 T=   3100.00 eta norm:   172.3873 u norm:   186.6047 924.70
  156 108108 T=   3120.00 eta norm:   168.6483 u norm:   187.0897 920.17
  157 108801 T=   3140.00 eta norm:   164.7929 u norm:   186.7015 915.86
  158 109494 T=   3160.00 eta norm:   160.7899 u norm:   186.5151 920.57
  159 110187 T=   3180.00 eta norm:   156.6333 u norm:   187.0629 921.78
  160 110880 T=   3200.00 eta norm:   152.3296 u norm:   187.6189 904.20
  161 111573 T=   3220.00 eta norm:   148.0097 u norm:   187.3414 913.55
  162 112266 T=   3240.00 eta norm:   143.6818 u norm:   185.2297 913.46
  163 112959 T=   3260.00 eta norm:   139.3423 u norm:   182.4758 919.14
  164 113652 T=   3280.00 eta norm:   134.8525 u norm:   180.1541 904.34
  165 114345 T=   3300.00 eta norm:   130.1906 u norm:   178.3822 904.89
  166 115038 T=   3320.00 eta norm:   125.4105 u norm:   175.3696 901.54
  167 115731 T=   3340.00 eta norm:   120.6818 u norm:   172.6717 917.18
  168 116424 T=   3360.00 eta norm:   115.8545 u norm:   170.8909 900.12
  169 117117 T=   3380.00 eta norm:   110.9906 u norm:   169.7371 905.54
  170 117810 T=   3400.00 eta norm:   106.2772 u norm:   168.4514 914.43
  171 118503 T=   3420.00 eta norm:   101.7897 u norm:   168.4672 916.34
  172 119196 T=   3440.00 eta norm:    97.3195 u norm:   169.3945 921.80
  173 119889 T=   3460.00 eta norm:    92.9187 u norm:   169.6919 918.02
  174 120582 T=   3480.00 eta norm:    88.5275 u norm:   170.3152 918.46
  175 121275 T=   3500.00 eta norm:    84.1534 u norm:   171.3028 896.42
  176 121968 T=   3520.00 eta norm:    79.8468 u norm:   170.9544 922.14
  177 122661 T=   3540.00 eta norm:    75.4189 u norm:   171.4217 918.60
  178 123354 T=   3560.00 eta norm:    72.0041 u norm:   171.9705 919.88
  179 124047 T=   3580.00 eta norm:    74.0948 u norm:   171.7154 922.93
  180 124740 T=   3600.00 eta norm:    87.4497 u norm:   171.7161 920.44
  181 125433 T=   3620.00 eta norm:   107.1935 u norm:   172.4089 915.00
  182 126126 T=   3640.00 eta norm:   117.5228 u norm:   171.9471 912.22
  183 126819 T=   3660.00 eta norm:   128.1295 u norm:   171.8306 916.54
  184 127512 T=   3680.00 eta norm:   139.5316 u norm:   172.1874 912.28
  185 128205 T=   3700.00 eta norm:   146.3766 u norm:   172.3738 923.46
  186 128898 T=   3720.00 eta norm:   154.3257 u norm:   172.8981 927.35
  187 129591 T=   3740.00 eta norm:   161.3186 u norm:   173.3292 922.08
  188 130284 T=   3760.00 eta norm:   166.7247 u norm:   173.8523 923.04
  189 130977 T=   3780.00 eta norm:   172.1448 u norm:   173.5679 923.40
  190 131670 T=   3800.00 eta norm:   176.7252 u norm:   173.2740 922.47
  191 132363 T=   3820.00 eta norm:   180.8944 u norm:   173.0424 920.45
  192 133056 T=   3840.00 eta norm:   184.7684 u norm:   173.1310 916.10
  193 133749 T=   3860.00 eta norm:   188.0737 u norm:   171.6572 924.33
  194 134442 T=   3880.00 eta norm:   190.8238 u norm:   170.4481 919.81
  195 135135 T=   3900.00 eta norm:   193.1047 u norm:   170.2251 912.79
  196 135828 T=   3920.00 eta norm:   194.9886 u norm:   171.5918 917.01
  197 136521 T=   3940.00 eta norm:   196.6627 u norm:   173.5618 914.05
  198 137214 T=   3960.00 eta norm:   197.9177 u norm:   176.1122 922.62
  199 137907 T=   3980.00 eta norm:   198.8784 u norm:   178.9746 924.07
  200 138600 T=   4000.00 eta norm:   199.4872 u norm:   181.5818 914.09
  201 139293 T=   4020.00 eta norm:   199.8677 u norm:   183.8554 924.71
  202 139986 T=   4040.00 eta norm:   200.0005 u norm:   186.2492 925.88
  203 140679 T=   4060.00 eta norm:   199.8755 u norm:   189.0068 918.65
  204 141372 T=   4080.00 eta norm:   199.5114 u norm:   191.8229 907.18
  205 142065 T=   4100.00 eta norm:   198.8355 u norm:   194.2375 905.15
  206 142758 T=   4120.00 eta norm:   197.8542 u norm:   196.4249 904.83
  207 143451 T=   4140.00 eta norm:   196.7045 u norm:   196.7514 910.71
  208 144144 T=   4160.00 eta norm:   195.3180 u norm:   195.5365 918.18
  209 144837 T=   4180.00 eta norm:   193.4575 u norm:   193.2576 922.11
  210 145530 T=   4200.00 eta norm:   191.2281 u norm:   190.6664 925.06
  211 146223 T=   4220.00 eta norm:   188.7472 u norm:   187.7406 891.00
  212 146916 T=   4240.00 eta norm:   186.1061 u norm:   183.5327 908.25
  213 147609 T=   4260.00 eta norm:   183.1420 u norm:   178.5770 921.46
  214 148302 T=   4280.00 eta norm:   179.8813 u norm:   173.3157 917.83
  215 148995 T=   4300.00 eta norm:   176.3640 u norm:   169.9943 917.11
  216 149688 T=   4320.00 eta norm:   172.7581 u norm:   167.9143 915.25
  217 150381 T=   4340.00 eta norm:   168.9737 u norm:   166.5799 919.48
  218 151074 T=   4360.00 eta norm:   165.1137 u norm:   165.8028 915.82
  219 151767 T=   4380.00 eta norm:   161.1415 u norm:   165.5313 912.86
  220 152460 T=   4400.00 eta norm:   157.0699 u norm:   164.8396 924.17
  221 153153 T=   4420.00 eta norm:   152.8676 u norm:   163.8602 914.64
  222 153846 T=   4440.00 eta norm:   148.6269 u norm:   163.0734 893.10
  223 154539 T=   4460.00 eta norm:   144.4469 u norm:   162.2504 894.65
  224 155232 T=   4480.00 eta norm:   140.2291 u norm:   161.8602 894.92
  225 155925 T=   4500.00 eta norm:   135.9036 u norm:   161.5487 891.91
  226 156618 T=   4520.00 eta norm:   131.5654 u norm:   161.6413 892.31
  227 157311 T=   4540.00 eta norm:   127.3522 u norm:   161.7308 925.01
  228 158004 T=   4560.00 eta norm:   123.2602 u norm:   162.2346 919.94
  229 158697 T=   4580.00 eta norm:   119.1819 u norm:   162.5608 917.06
  230 159390 T=   4600.00 eta norm:   114.9809 u norm:   162.7523 923.43
  231 160083 T=   4620.00 eta norm:   110.7536 u norm:   162.5609 923.04
  232 160776 T=   4640.00 eta norm:   106.6868 u norm:   162.2177 923.82
  233 161469 T=   4660.00 eta norm:   102.5990 u norm:   162.3708 923.07
  234 162162 T=   4680.00 eta norm:    98.4568 u norm:   163.0556 917.19
  235 162855 T=   4700.00 eta norm:    94.3322 u norm:   164.0327 920.21
  236 163548 T=   4720.00 eta norm:    90.1451 u norm:   165.0378 918.08
  237 164241 T=   4740.00 eta norm:    85.9779 u norm:   166.5834 926.08
  238 164934 T=   4760.00 eta norm:    81.8152 u norm:   168.5887 920.46
  239 165627 T=   4780.00 eta norm:    77.6963 u norm:   169.5575 921.30
  240 166320 T=   4800.00 eta norm:    73.7017 u norm:   169.8517 918.00
time cost: 3679.26min
time cost: 3679.26min
time cost: 3679.26min
time cost: 3679.26min
time cost: 3679.26min
time cost: 3679.26min
time cost: 3679.26min
time cost: 3679.26min
