nohup: ignoring input
Exporting to ../../outputs/3d_v1.0
UFL:WARNING Discontinuous Lagrange element requested on triangle * interval, creating DQ element.
Using default SIPG parameters
Coupled time integrator: CoupledTwoStageRK
  2D time integrator: ESDIRKTrapezoid
  3D time integrator: SSPRK22ALE
  3D implicit time integrator: BackwardEuler
2D mesh: 5151 nodes, 10000 triangles
3D mesh: 4 layers, 40000 prisms
Horizontal element size: 1.73 ... 1.73 m
Vertical element size: 10.000 ... 10.000 m
Element family: dg-dg, degree: 1
Number of tracer DOFs: 240000
Number of cores: 8
Tracer DOFs per core: ~30000.0
  - dt 2d swe: 0.0037968434885867356
  - dt h. advection: 0.028867513459481086
  - dt v. advection: 249.9999999999984
  - dt viscosity: 0.029999999999999576
  - CFL adjusted dt: 2D: inf 3D: 0.028867513459481086
  - chosen dt: 2D: 0.028867513459481086 3D: 0.028867513459481086
  - adjusted dt: 2D: 0.02886002886002886 3D: 0.02886002886002886
dt = 0.028860
max h diff 0.8662499999999947 - 0.8662500000000026
    0     0 T=      0.00 eta norm:     0.0000 u norm:     0.0000  0.00
    1   693 T=     20.00 eta norm:    91.5173 u norm:     2.3535 902.69
    2  1386 T=     40.00 eta norm:    94.1786 u norm:     9.3819 920.01
    3  2079 T=     60.00 eta norm:    80.1856 u norm:    19.5296 929.45
  139 96327 T=   2780.00 eta norm:   158.7732 u norm:    51.0969 913.30
  140 97020 T=   2800.00 eta norm:   162.4346 u norm:    50.6708 922.82
  141 97713 T=   2820.00 eta norm:   165.8627 u norm:    50.4246 919.57
  142 98406 T=   2840.00 eta norm:   169.0888 u norm:    50.3003 925.24
  143 99099 T=   2860.00 eta norm:   172.0428 u norm:    50.9441 921.64
  144 99792 T=   2880.00 eta norm:   174.6486 u norm:    50.6724 917.52
  145 100485 T=   2900.00 eta norm:   176.9629 u norm:    50.3650 911.88
  146 101178 T=   2920.00 eta norm:   179.0885 u norm:    50.4295 919.57
  147 101871 T=   2940.00 eta norm:   181.0785 u norm:    50.5207 917.62
  148 102564 T=   2960.00 eta norm:   182.8857 u norm:    50.7337 916.66
  149 103257 T=   2980.00 eta norm:   184.4104 u norm:    50.2085 920.37
  150 103950 T=   3000.00 eta norm:   185.7256 u norm:    50.7651 913.33
  151 104643 T=   3020.00 eta norm:   186.8707 u norm:    50.6646 921.09
  152 105336 T=   3040.00 eta norm:   187.8935 u norm:    50.9123 927.49
  153 106029 T=   3060.00 eta norm:   188.7635 u norm:    51.2080 927.66
  154 106722 T=   3080.00 eta norm:   189.4324 u norm:    50.6204 917.72
  155 107415 T=   3100.00 eta norm:   189.9014 u norm:    50.3364 925.12
  156 108108 T=   3120.00 eta norm:   190.2170 u norm:    50.8189 913.04
  157 108801 T=   3140.00 eta norm:   190.4199 u norm:    51.1075 921.78
  158 109494 T=   3160.00 eta norm:   190.4981 u norm:    50.7969 920.56
  159 110187 T=   3180.00 eta norm:   190.4069 u norm:    50.9644 908.33
  160 110880 T=   3200.00 eta norm:   190.1532 u norm:    50.7763 907.69
  161 111573 T=   3220.00 eta norm:   189.7542 u norm:    50.4608 914.09
  162 112266 T=   3240.00 eta norm:   189.2351 u norm:    50.8796 916.37
  163 112959 T=   3260.00 eta norm:   188.5861 u norm:    50.4918 915.55
  164 113652 T=   3280.00 eta norm:   187.8118 u norm:    50.4043 909.59
  165 114345 T=   3300.00 eta norm:   186.8917 u norm:    50.5805 899.65
  166 115038 T=   3320.00 eta norm:   185.8366 u norm:    50.2538 905.40
  167 115731 T=   3340.00 eta norm:   184.6576 u norm:    49.7309 909.27
  168 116424 T=   3360.00 eta norm:   183.3718 u norm:    50.1324 894.39
  169 117117 T=   3380.00 eta norm:   181.9662 u norm:    49.7479 909.39
  170 117810 T=   3400.00 eta norm:   180.4330 u norm:    48.8229 917.29
  171 118503 T=   3420.00 eta norm:   178.7666 u norm:    48.6545 915.90
  172 119196 T=   3440.00 eta norm:   176.9955 u norm:    48.2312 921.44
  173 119889 T=   3460.00 eta norm:   175.1213 u norm:    47.7123 922.28
  174 120582 T=   3480.00 eta norm:   173.1394 u norm:    47.7447 898.35
  175 121275 T=   3500.00 eta norm:   171.0370 u norm:    47.1313 915.14
  176 121968 T=   3520.00 eta norm:   168.8285 u norm:    47.9708 922.84
  177 122661 T=   3540.00 eta norm:   166.5270 u norm:    47.9137 919.65
  178 123354 T=   3560.00 eta norm:   164.1254 u norm:    47.3942 916.82
  179 124047 T=   3580.00 eta norm:   161.6246 u norm:    48.0544 923.73
  180 124740 T=   3600.00 eta norm:   159.0146 u norm:    47.8278 915.81
  181 125433 T=   3620.00 eta norm:   156.3083 u norm:    48.0655 916.32
  182 126126 T=   3640.00 eta norm:   153.5106 u norm:    47.8243 912.64
  183 126819 T=   3660.00 eta norm:   150.6506 u norm:    48.1408 911.19
  184 127512 T=   3680.00 eta norm:   147.7028 u norm:    48.4700 924.40
  185 128205 T=   3700.00 eta norm:   144.6685 u norm:    49.1820 925.67
  186 128898 T=   3720.00 eta norm:   141.5658 u norm:    48.5759 923.56
  187 129591 T=   3740.00 eta norm:   138.3975 u norm:    48.8983 918.03
  188 130284 T=   3760.00 eta norm:   135.1801 u norm:    49.2811 930.39
  189 130977 T=   3780.00 eta norm:   131.8915 u norm:    49.4014 920.51
  190 131670 T=   3800.00 eta norm:   128.5393 u norm:    49.7761 918.49
  191 132363 T=   3820.00 eta norm:   125.1203 u norm:    49.9223 924.04
  192 133056 T=   3840.00 eta norm:   121.6666 u norm:    50.2344 916.70
  193 133749 T=   3860.00 eta norm:   118.1910 u norm:    50.3061 923.95
  194 134442 T=   3880.00 eta norm:   114.6849 u norm:    50.4216 915.72
  195 135135 T=   3900.00 eta norm:   111.1415 u norm:    50.7873 912.65
  196 135828 T=   3920.00 eta norm:   107.5706 u norm:    50.6858 911.26
  197 136521 T=   3940.00 eta norm:   103.9926 u norm:    50.9797 923.91
  198 137214 T=   3960.00 eta norm:   100.4174 u norm:    50.7309 920.23
  199 137907 T=   3980.00 eta norm:    96.8439 u norm:    51.5929 922.51
  200 138600 T=   4000.00 eta norm:    93.2729 u norm:    51.6406 923.68
  201 139293 T=   4020.00 eta norm:    89.7286 u norm:    51.8200 921.32
  202 139986 T=   4040.00 eta norm:    86.1960 u norm:    51.8435 921.56
  203 140679 T=   4060.00 eta norm:    82.7062 u norm:    52.3425 921.07
  204 141372 T=   4080.00 eta norm:    79.2622 u norm:    52.1956 889.42
  205 142065 T=   4100.00 eta norm:    75.8709 u norm:    53.0656 904.86
  206 142758 T=   4120.00 eta norm:    72.5973 u norm:    52.7027 909.15
  207 143451 T=   4140.00 eta norm:    69.4511 u norm:    52.9958 913.93
  208 144144 T=   4160.00 eta norm:    66.5254 u norm:    52.2378 922.68
  209 144837 T=   4180.00 eta norm:    64.1259 u norm:    53.1048 925.61
