B5,A5,
-0.803644516,-0.411903604,22/08/2013 18:30
-1.179654921,-0.751838634,22/08/2013 19:00
-1.472467639,-1.052954882,22/08/2013 19:30
-1.661828785,-1.293822116,22/08/2013 20:00
-1.734080398,-1.450433395,22/08/2013 20:30
-1.68363501,-1.499784525,22/08/2013 21:00
-1.515123784,-1.424967785,22/08/2013 21:30
-1.243330471,-1.219183779,22/08/2013 22:00
-0.888599112,-0.897046171,22/08/2013 22:30
-0.48266845,-0.525284351,22/08/2013 23:00
-0.054018847,-0.136539281,22/08/2013 23:30
0.374281537,0.251289578,23/08/2013 00:00
0.779175091,0.61706426,23/08/2013 00:30
1.136076589,0.942459302,23/08/2013 01:00
1.421039804,1.214341133,23/08/2013 01:30
1.613614958,1.420705416,23/08/2013 02:00
1.698884009,1.545785216,23/08/2013 02:30
1.668793974,1.571553861,23/08/2013 03:00
1.522825686,1.484375669,23/08/2013 03:30
1.267347466,1.279957291,23/08/2013 04:00
0.912452164,0.966932259,23/08/2013 04:30
0.483179104,0.597626459,23/08/2013 05:00
0.017052206,0.21665955,23/08/2013 05:30
-0.454741777,-0.163413494,23/08/2013 06:00
-0.905484635,-0.537552862,23/08/2013 06:30
-1.308057183,-0.896999626,23/08/2013 07:00
-1.635925745,-1.225441658,23/08/2013 07:30
-1.866302197,-1.501856281,23/08/2013 08:00
-1.98207298,-1.701718856,23/08/2013 08:30
-1.973193987,-1.799848326,23/08/2013 09:00
-1.838704226,-1.77466519,23/08/2013 09:30
-1.588822494,-1.612263947,23/08/2013 10:00
-1.241512828,-1.313646628,23/08/2013 10:30
-0.824856554,-0.93731291,23/08/2013 11:00
-0.37079409,-0.527622815,23/08/2013 11:30
0.096739351,-0.10463814,23/08/2013 12:00
0.555097736,0.308966519,23/08/2013 12:30
0.979410293,0.692051316,23/08/2013 13:00
1.344187972,1.03076434,23/08/2013 13:30
1.6261777,1.315705136,23/08/2013 14:00
1.806627406,1.532894396,23/08/2013 14:30
1.873011622,1.661778966,23/08/2013 15:00
1.820094885,1.683864705,23/08/2013 15:30
1.650159728,1.587257412,23/08/2013 16:00
1.371723623,1.370908146,23/08/2013 16:30
0.9978096,1.050184884,23/08/2013 17:00
0.561204466,0.685438584,23/08/2013 17:30
0.09788867,0.314791797,23/08/2013 18:00
-0.363146643,-0.052730064,23/08/2013 18:30
-0.796238857,-0.412774122,23/08/2013 19:00
-1.174947164,-0.75451812,23/08/2013 19:30
-1.474146472,-1.06027006,23/08/2013 20:00
-1.673307293,-1.309149614,23/08/2013 20:30
-1.758228918,-1.477539027,23/08/2013 21:00
-1.722386804,-1.542375425,23/08/2013 21:30
-1.568882038,-1.486082387,23/08/2013 22:00
