时间,实测流速,实测流向,模拟流速,模拟流向
20/08/2013 14:20,1.23,167,,
20/08/2013 14:30,1.3,161,,
20/08/2013 14:40,1.27,175,,
20/08/2013 14:50,1.21,164,,
20/08/2013 15:00,1.26,166,,
23/08/2013 10:00,1.38,342,,
23/08/2013 10:10,1.4,329,,
23/08/2013 10:20,1.4,338,,
23/08/2013 10:30,1.45,342,,
23/08/2013 10:40,1.53,336,,
23/08/2013 10:50,1.31,336,,
23/08/2013 11:00,1.3,341,,
23/08/2013 11:10,1.42,341,,
23/08/2013 11:20,1.34,336,,
23/08/2013 11:30,1.3,334,,
23/08/2013 11:40,1.08,346,,
23/08/2013 11:50,0.93,332,,
23/08/2013 12:00,0.77,325,,
23/08/2013 12:10,0.59,331,,
23/08/2013 12:20,0.51,310,,
23/08/2013 12:30,0.5,285,,
23/08/2013 12:40,0.47,263,,
23/08/2013 12:50,0.48,287,,
23/08/2013 13:00,0.37,236,,
23/08/2013 13:10,0.35,217,,
23/08/2013 13:20,0.28,192,,
23/08/2013 13:30,0.39,218,,
23/08/2013 13:40,0.8,200,,
23/08/2013 13:50,0.48,298,,
23/08/2013 14:00,0.89,151,,
23/08/2013 14:10,1.17,153,,
23/08/2013 14:20,1.34,166,,
23/08/2013 14:30,1.33,166,,
23/08/2013 14:40,1.36,171,,
23/08/2013 14:50,1.52,168,,
23/08/2013 15:00,1.52,157,,
23/08/2013 15:10,1.56,150,,
23/08/2013 15:20,1.56,162,,
23/08/2013 15:30,1.55,159,,
23/08/2013 15:40,1.49,153,,
23/08/2013 15:50,1.54,160,,
23/08/2013 16:00,1.6,157,,
23/08/2013 16:10,1.57,164,,
23/08/2013 16:20,1.47,145,,
23/08/2013 16:30,1.46,157,,
23/08/2013 16:40,1.45,159,,
23/08/2013 16:50,1.36,143,,
23/08/2013 17:00,1.29,160,,
23/08/2013 17:10,1.18,148,,
23/08/2013 17:20,1.16,170,,
23/08/2013 17:30,1.22,142,,
23/08/2013 17:40,1.05,148,,
23/08/2013 17:50,0.88,163,,
23/08/2013 18:00,0.81,147,,
23/08/2013 18:10,0.83,167,,
23/08/2013 18:20,0.56,157,,
23/08/2013 18:30,0.63,147,,
23/08/2013 18:40,0.39,190,,
23/08/2013 18:50,0.43,201,,
23/08/2013 19:00,0.32,183,,
23/08/2013 19:10,0.28,163,,
23/08/2013 19:20,0.15,238,,
23/08/2013 19:30,0.05,267,,
23/08/2013 19:40,0.45,301,,
23/08/2013 19:50,0.52,323,,
23/08/2013 20:00,0.63,330,,
23/08/2013 20:10,0.81,328,,
23/08/2013 20:20,0.76,346,,
23/08/2013 20:30,0.8,348,,
23/08/2013 20:40,1.07,342,,
23/08/2013 20:50,1.19,333,,
23/08/2013 21:00,1.21,327,,
23/08/2013 21:10,1.34,340,,
23/08/2013 21:20,1.25,359,,
23/08/2013 21:30,1.47,350,,
23/08/2013 21:40,1.39,340,,
23/08/2013 21:50,1.38,337,,
23/08/2013 22:00,1.31,337,,
23/08/2013 22:10,1.41,328,,
23/08/2013 22:20,1.42,346,,
23/08/2013 22:30,1.37,347,,
23/08/2013 22:40,1.24,329,,
23/08/2013 22:50,1.17,345,,
23/08/2013 23:00,1.27,328,,
23/08/2013 23:10,1.25,340,,
23/08/2013 23:20,1.16,344,,
23/08/2013 23:30,1.1,327,,
23/08/2013 23:40,1.03,327,,
23/08/2013 23:50,0.88,329,,
24/08/2013 00:00,0.92,322,,
24/08/2013 00:10,0.7,326,,
24/08/2013 00:20,0.65,336,,
24/08/2013 00:30,0.53,327,,
24/08/2013 00:40,0.33,331,,
24/08/2013 00:50,0.27,301,,
24/08/2013 01:00,0.31,300,,
24/08/2013 01:10,0.3,299,,
24/08/2013 01:20,0.52,263,,
24/08/2013 01:30,0.66,301,,
24/08/2013 01:40,0.23,204,,
24/08/2013 01:50,0.38,238,,
24/08/2013 02:00,0.62,156,,
24/08/2013 02:10,0.88,153,,
24/08/2013 02:20,0.95,153,,
24/08/2013 02:30,1.19,165,,
24/08/2013 02:40,1.19,161,,
24/08/2013 02:50,1.33,165,,
24/08/2013 03:00,1.52,161,,
24/08/2013 03:10,1.55,157,,
24/08/2013 03:20,1.62,164,,
24/08/2013 03:30,1.55,148,,
24/08/2013 03:40,1.41,157,,
24/08/2013 03:50,1.55,165,,
24/08/2013 04:00,1.58,160,,
24/08/2013 04:10,1.52,162,,
24/08/2013 04:20,1.6,163,,
24/08/2013 04:30,1.64,158,,
24/08/2013 04:40,1.7,162,,
24/08/2013 04:50,1.48,161,,
24/08/2013 05:00,1.49,153,,
24/08/2013 05:10,1.48,162,,
24/08/2013 05:20,1.36,154,,
24/08/2013 05:30,1.27,173,,
24/08/2013 05:40,1.07,160,,
24/08/2013 05:50,1.22,162,,
24/08/2013 06:00,1.1,161,,
24/08/2013 06:10,0.81,151,,
24/08/2013 06:20,0.88,162,,
24/08/2013 06:30,0.77,157,,
24/08/2013 06:40,0.69,167,,
24/08/2013 06:50,0.48,188,,
24/08/2013 07:00,0.39,178,,
24/08/2013 07:10,0.34,188,,
24/08/2013 07:20,0.31,206,,
24/08/2013 07:30,0.2,211,,
24/08/2013 07:40,0.11,170,,
24/08/2013 07:50,0.26,225,,
24/08/2013 08:00,0.12,285,,
24/08/2013 08:10,0.31,308,,
24/08/2013 08:20,0.44,313,,
24/08/2013 08:30,0.54,332,,
24/08/2013 08:40,0.63,333,,
24/08/2013 08:50,0.78,324,,
24/08/2013 09:00,0.78,326,,
24/08/2013 09:10,1.12,341,,
24/08/2013 09:20,1.13,341,,
24/08/2013 09:30,1.18,345,,
24/08/2013 09:40,1.36,338,,
24/08/2013 09:50,1.25,346,,
24/08/2013 10:00,1.36,337,,
24/08/2013 10:10,1.35,342,,
24/08/2013 10:20,1.36,351,,
24/08/2013 10:30,1.23,340,,
24/08/2013 10:40,1.37,334,,
24/08/2013 10:50,1.54,342,,
24/08/2013 11:00,1.52,341,,
